Date,GLD,IEF,QQQ,SPY,VXUS
2020-01-02,143.9499969482422,93.72172546386719,207.87225341796875,295.3917541503906,46.43073654174805
2020-01-03,145.86000061035156,94.34809112548828,205.9681396484375,293.15496826171875,45.8618049621582
2020-01-06,147.38999938964844,94.24649810791016,207.2952423095703,294.2733459472656,45.92776870727539
2020-01-07,147.97000122070312,94.11111450195312,207.2664337158203,293.4459228515625,45.84531784057617
2020-01-08,146.86000061035156,93.89099884033203,208.8242645263672,295.00994873046875,45.92776870727539
2020-01-09,146.02999877929688,93.958740234375,210.59371948242188,297.0102844238281,46.133907318115234
2020-01-10,146.91000366210938,94.1618423461914,210.0552215576172,296.15557861328125,46.07618713378906
2020-01-13,145.82000732421875,94.05181884765625,212.47860717773438,298.19232177734375,46.4224967956543
2020-01-14,145.69000244140625,94.23804473876953,211.6419677734375,297.7377014160156,46.43073654174805
2020-01-15,146.5399932861328,94.47501373291016,211.72853088378906,298.4104919433594,46.30705642700195
2020-01-16,146.30999755859375,94.28036499023438,213.75759887695312,300.8927917480469,46.554420471191406
2020-01-17,146.5800018310547,94.20415496826172,214.81546020507812,301.82940673828125,46.70284652709961
2020-01-21,146.74000549316406,94.57659912109375,214.7193145751953,301.23828125,46.19162368774414
2020-01-22,146.7899932861328,94.59349060058594,215.28662109375,301.274658203125,46.35652542114258
2020-01-23,147.1199951171875,94.83049011230469,215.9790496826172,301.62017822265625,46.17512893676758
2020-01-24,147.97999572753906,95.1690673828125,214.16148376464844,298.9378967285156,45.91127014160156
2020-01-27,148.99000549316406,95.81230926513672,209.73788452148438,294.14605712890625,44.90530776977539
2020-01-28,147.66000366210938,95.49071502685547,212.95944213867188,297.2284851074219,45.24338150024414
2020-01-29,148.4600067138672,95.9477767944336,213.3056182861328,296.9830017089844,45.26811599731445
2020-01-30,148.47000122070312,96.0408706665039,214.06536865234375,297.9468078613281,45.103214263916016
2020-01-31,149.3300018310547,96.52328491210938,210.67068481445312,292.5367126464844,44.36110305786133
2020-02-03,148.36000061035156,96.44110107421875,213.853759765625,294.7098693847656,44.443565368652344
2020-02-04,146.42999267578125,95.8817138671875,218.74862670898438,299.2015380859375,45.226898193359375
2020-02-05,146.61000061035156,95.46644592285156,219.46987915039062,302.6568298339844,45.639156341552734
2020-02-06,147.39999389648438,95.53423309326172,221.36436462402344,303.67510986328125,45.74635314941406
2020-02-07,147.7899932861328,95.99187469482422,220.41232299804688,302.0567321777344,45.29286193847656
2020-02-10,148.1699981689453,96.17837524414062,223.0760955810547,304.31158447265625,45.383548736572266
2020-02-11,147.66000366210938,95.9494857788086,223.11456298828125,304.8390808105469,45.71337890625
2020-02-12,147.5399932861328,95.70376586914062,225.28790283203125,306.80303955078125,46.04319763183594
2020-02-13,148.3800048828125,95.78852081298828,224.9993896484375,306.4756774902344,45.68864822387695
2020-02-14,149.0,96.02579498291016,225.64373779296875,306.9666748046875,45.66389846801758
2020-02-18,150.91000366210938,96.17837524414062,225.7302703857422,306.1756286621094,45.383548736572266
2020-02-19,151.7899932861328,96.16139221191406,227.89398193359375,307.6395263671875,45.597938537597656
2020-02-20,152.41000366210938,96.44110107421875,225.77830505371094,306.3757019042969,45.226898193359375
2020-02-21,154.6999969482422,96.83094787597656,221.44129943847656,303.2204895019531,44.98777389526367
2020-02-24,156.08999633789062,97.58524322509766,212.90171813964844,293.1640625,43.322174072265625
2020-02-25,153.3000030517578,97.85649871826172,207.11253356933594,284.2806396484375,42.728485107421875
2020-02-26,153.97000122070312,97.8056411743164,208.1799774169922,283.2348937988281,42.81094741821289
2020-02-27,154.0,98.28022766113281,197.75563049316406,270.514404296875,41.59059524536133
2020-02-28,148.3800048828125,99.38203430175781,197.90948486328125,269.3777160644531,41.433929443359375
2020-03-02,149.1999969482422,99.31414794921875,208.122314453125,281.043701171875,41.88743209838867
2020-03-03,153.88999938964844,100.46818542480469,201.4484100341797,272.9967041015625,41.508140563964844
2020-03-04,154.16000366210938,100.24756622314453,209.853271484375,284.4715576171875,42.58006286621094
2020-03-05,157.49000549316406,101.13854217529297,203.47747802734375,275.0151672363281,41.557621002197266
2020-03-06,157.5500030517578,102.16529846191406,200.04432678222656,270.4689636230469,40.939208984375
2020-03-09,157.80999755859375,103.08173370361328,186.14842224121094,249.3467254638672,37.70694351196289
2020-03-10,154.47999572753906,101.18941497802734,196.28427124023438,262.249267578125,39.16640090942383
2020-03-11,153.92999267578125,100.17967224121094,187.735107421875,249.46493530273438,37.220455169677734
2020-03-12,147.7899932861328,100.2305908203125,170.52139282226562,225.59686279296875,33.22136688232422
2020-03-13,143.27999877929688,99.57723236083984,184.96551513671875,244.88232421875,35.33222961425781
